Segment,Country, Product , Discount Band ,Units Sold, Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Beverages,United States of America, Robusta , None ,2427.75, $3.90 , $26.00 ," $42,081.00 ", $-   ," $42,081.00 "," $21,040.50 "," $16,185.00 ",01/01/2021,1, January ,2021
Beverages,Switzerland, Robusta , None ,1981.5, $3.90 , $26.00 ," $34,346.00 ", $-   ," $34,346.00 "," $17,173.00 "," $13,210.00 ",01/01/2021,1, January ,2021
Snacks,Japan, Robusta , None ,3267, $3.90 , $19.50 ," $42,471.00 ", $-   ," $42,471.00 "," $28,314.00 "," $10,890.00 ",01/06/2021,6, June ,2021
Snacks,Switzerland, Robusta , None ,1332, $3.90 , $19.50 ," $17,316.00 ", $-   ," $17,316.00 "," $11,544.00 "," $4,440.00 ",01/06/2021,6, June ,2021
Snacks,Belgium, Robusta , None ,3705, $3.90 , $19.50 ," $48,165.00 ", $-   ," $48,165.00 "," $32,110.00 "," $12,350.00 ",01/06/2021,6, June ,2021
Beverages,Switzerland, Robusta , None ,2269.5, $3.90 , $455.00 ," $688,415.00 ", $-   ," $688,415.00 "," $511,394.00 "," $136,170.00 ",01/12/2021,12, December ,2021
Snacks,Switzerland, Typica , None ,1381.5, $6.50 , $19.50 ," $17,959.50 ", $-   ," $17,959.50 "," $11,973.00 "," $4,605.00 ",01/03/2021,3, March ,2021
Dairy Products,United States of America, Typica , None ,3777, $6.50 , $15.60 ," $39,280.80 ", $-   ," $39,280.80 "," $9,820.20 "," $22,662.00 ",01/06/2021,6, June ,2021
Beverages,Japan, Typica , None ,2848.5, $6.50 , $26.00 ," $49,374.00 ", $-   ," $49,374.00 "," $24,687.00 "," $18,990.00 ",01/06/2021,6, June ,2021
Dairy Products,Switzerland, Typica , None ,2317.5, $6.50 , $15.60 ," $24,102.00 ", $-   ," $24,102.00 "," $6,025.50 "," $13,905.00 ",01/06/2021,6, June ,2021
Snacks,Belgium, Typica , None ,3705, $6.50 , $19.50 ," $48,165.00 ", $-   ," $48,165.00 "," $32,110.00 "," $12,350.00 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,United States of America, Typica , None ,3998.25, $6.50 , $162.50 ," $433,143.75 ", $-   ," $433,143.75 "," $415,818.00 "," $13,327.50 ",01/07/2021,7, July ,2021
Frozen Foods,Belgium, Typica , None ,1437, $6.50 , $390.00 ," $373,620.00 ", $-   ," $373,620.00 "," $311,350.00 "," $47,900.00 ",01/08/2021,8, August ,2021
Beverages,Switzerland, Typica , None ,3219, $6.50 , $9.10 ," $19,528.60 ", $-   ," $19,528.60 "," $13,949.00 "," $4,292.00 ",01/09/2021,9, September ,2021
Snacks,China, Typica , None ,922.5, $6.50 , $19.50 ," $11,992.50 ", $-   ," $11,992.50 "," $7,995.00 "," $3,075.00 ",01/12/2021,12, December ,2021
Beverages,United States of America, Blue Mountain Coffee , None ,438, $13.00 , $26.00 ," $7,592.00 ", $-   ," $7,592.00 "," $3,796.00 "," $2,920.00 ",01/02/2021,2, February ,2021
Snacks,Belgium, Blue Mountain Coffee , None ,1461, $13.00 , $19.50 ," $18,993.00 ", $-   ," $18,993.00 "," $12,662.00 "," $4,870.00 ",01/02/2021,2, February ,2021
Dairy Products,United States of America, Blue Mountain Coffee , None ,3777, $13.00 , $15.60 ," $39,280.80 ", $-   ," $39,280.80 "," $9,820.20 "," $22,662.00 ",01/06/2021,6, June ,2021
Beverages,Switzerland, Blue Mountain Coffee , None ,1509, $13.00 , $455.00 ," $457,730.00 ", $-   ," $457,730.00 "," $340,028.00 "," $90,540.00 ",01/06/2021,6, June ,2021
Dairy Products,Switzerland, Blue Mountain Coffee , None ,550.5, $13.00 , $15.60 ," $5,725.20 ", $-   ," $5,725.20 "," $1,431.30 "," $3,303.00 ",01/07/2021,7, July ,2021
Beverages,Belgium, Blue Mountain Coffee , None ,1324.5, $13.00 , $9.10 ," $8,035.30 ", $-   ," $8,035.30 "," $5,739.50 "," $1,766.00 ",01/08/2021,8, August ,2021
Snacks,Belgium, Blue Mountain Coffee , None ,3708, $13.00 , $19.50 ," $48,204.00 ", $-   ," $48,204.00 "," $32,136.00 "," $12,360.00 ",01/09/2021,9, September ,2021
Beverages,China, Blue Mountain Coffee , None ,1714.5, $13.00 , $9.10 ," $10,401.30 ", $-   ," $10,401.30 "," $7,429.50 "," $2,286.00 ",01/10/2021,10, October ,2021
Beverages,United States of America, Blue Mountain Coffee , None ,2725.5, $13.00 , $26.00 ," $47,242.00 ", $-   ," $47,242.00 "," $23,621.00 "," $18,170.00 ",01/12/2021,12, December ,2021
Beverages,Switzerland, Blue Mountain Coffee , None ,2269.5, $13.00 , $455.00 ," $688,415.00 ", $-   ," $688,415.00 "," $511,394.00 "," $136,170.00 ",01/12/2021,12, December ,2021
Beverages,Belgium, Bourbon , None ,2239.5, $156.00 , $9.10 ," $13,586.30 ", $-   ," $13,586.30 "," $9,704.50 "," $2,986.00 ",01/01/2021,1, January ,2021
Packaged and Prepared Foods,Japan, Bourbon , None ,2706, $156.00 , $162.50 ," $293,150.00 ", $-   ," $293,150.00 "," $281,424.00 "," $9,020.00 ",01/02/2021,2, February ,2021
Dairy Products,Switzerland, Bourbon , None ,3241.5, $156.00 , $15.60 ," $33,711.60 ", $-   ," $33,711.60 "," $8,427.90 "," $19,449.00 ",01/03/2021,3, March ,2021
Beverages,Switzerland, Bourbon , None ,1509, $156.00 , $455.00 ," $457,730.00 ", $-   ," $457,730.00 "," $340,028.00 "," $90,540.00 ",01/06/2021,6, June ,2021
Dairy Products,Switzerland, Bourbon , None ,2317.5, $156.00 , $15.60 ," $24,102.00 ", $-   ," $24,102.00 "," $6,025.50 "," $13,905.00 ",01/06/2021,6, June ,2021
Packaged and Prepared Foods,China, Bourbon , None ,4231.5, $156.00 , $162.50 ," $458,412.50 ", $-   ," $458,412.50 "," $440,076.00 "," $14,105.00 ",01/08/2021,8, August ,2021
Frozen Foods,United States of America, Arabica , None ,3001.5, $325.00 , $390.00 ," $780,390.00 ", $-   ," $780,390.00 "," $650,325.00 "," $100,050.00 ",01/02/2021,2, February ,2021
Dairy Products,Switzerland, Arabica , None ,4257, $325.00 , $15.60 ," $44,272.80 ", $-   ," $44,272.80 "," $11,068.20 "," $25,542.00 ",01/04/2021,4, April ,2021
Snacks,Japan, Arabica , None ,3267, $325.00 , $19.50 ," $42,471.00 ", $-   ," $42,471.00 "," $28,314.00 "," $10,890.00 ",01/06/2021,6, June ,2021
Snacks,Switzerland, Arabica , None ,1332, $325.00 , $19.50 ," $17,316.00 ", $-   ," $17,316.00 "," $11,544.00 "," $4,440.00 ",01/06/2021,6, June ,2021
Frozen Foods,Japan, Arabica , None ,3226.5, $325.00 , $390.00 ," $838,890.00 ", $-   ," $838,890.00 "," $699,075.00 "," $107,550.00 ",01/09/2021,9, September ,2021
Beverages,United States of America, Arabica , None ,2725.5, $325.00 , $26.00 ," $47,242.00 ", $-   ," $47,242.00 "," $23,621.00 "," $18,170.00 ",01/12/2021,12, December ,2021
Beverages,Japan, Caturra , None ,4125, $338.00 , $455.00 ," $1,251,250.00 ", $-   ," $1,251,250.00 "," $929,500.00 "," $247,500.00 ",01/02/2021,2, February ,2021
Dairy Products,China, Caturra , None ,2929.5, $338.00 , $15.60 ," $30,466.80 ", $-   ," $30,466.80 "," $7,616.70 "," $17,577.00 ",01/04/2021,4, April ,2021
Packaged and Prepared Foods,Switzerland, Caturra , None ,6329.25, $338.00 , $162.50 ," $685,668.75 ", $-   ," $685,668.75 "," $658,242.00 "," $21,097.50 ",01/04/2021,4, April ,2021
Beverages,Japan, Caturra , None ,2848.5, $338.00 , $26.00 ," $49,374.00 ", $-   ," $49,374.00 "," $24,687.00 "," $18,990.00 ",01/06/2021,6, June ,2021
Beverages,Switzerland, Caturra , None ,2529, $338.00 , $9.10 ," $15,342.60 ", $-   ," $15,342.60 "," $10,959.00 "," $3,372.00 ",01/07/2021,7, July ,2021
Dairy Products,China, Caturra , None ,3211.5, $338.00 , $15.60 ," $33,399.60 ", $-   ," $33,399.60 "," $8,349.90 "," $19,269.00 ",01/08/2021,8, August ,2021
Beverages,China, Caturra , None ,1714.5, $338.00 , $9.10 ," $10,401.30 ", $-   ," $10,401.30 "," $7,429.50 "," $2,286.00 ",01/10/2021,10, October ,2021
